,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_name,artist
41,0.718,0.593,0,-9.976,1,0.0377,0.67,0.0,0.172,0.869,124.251,audio_features,4ltC6PrqkTtpcRNi5lvS4z,spotify:track:4ltC6PrqkTtpcRNi5lvS4z,https://api.spotify.com/v1/tracks/4ltC6PrqkTtpcRNi5lvS4z,https://api.spotify.com/v1/audio-analysis/4ltC6PrqkTtpcRNi5lvS4z,136067,4,no reply ,the beatles
42,0.492,0.628,7,-7.813,1,0.0439,0.567,1.07e-06,0.267,0.856,89.877,audio_features,7wC4EW11mBVxDK3xdC7FTf,spotify:track:7wC4EW11mBVxDK3xdC7FTf,https://api.spotify.com/v1/tracks/7wC4EW11mBVxDK3xdC7FTf,https://api.spotify.com/v1/audio-analysis/7wC4EW11mBVxDK3xdC7FTf,150027,4,i'm a loser ,the beatles
43,0.374,0.596,9,-7.666,1,0.0416,0.434,0.0,0.098,0.876,202.97,audio_features,7cb2SdLm1UMLwdUoWwrZN1,spotify:track:7cb2SdLm1UMLwdUoWwrZN1,https://api.spotify.com/v1/tracks/7cb2SdLm1UMLwdUoWwrZN1,https://api.spotify.com/v1/audio-analysis/7cb2SdLm1UMLwdUoWwrZN1,124520,3,baby's in black ,the beatles
44,0.457,0.917,9,-6.213,1,0.0441,0.566,0.0,0.333,0.965,167.092,audio_features,7Ho3T7ERfooiAfvODaMQ2N,spotify:track:7Ho3T7ERfooiAfvODaMQ2N,https://api.spotify.com/v1/tracks/7Ho3T7ERfooiAfvODaMQ2N,https://api.spotify.com/v1/audio-analysis/7Ho3T7ERfooiAfvODaMQ2N,151280,4,rock and roll music ,the beatles
45,0.689,0.313,0,-10.073,1,0.0366,0.789,0.0,0.144,0.625,133.754,audio_features,45WX2cfbL8bCIqv3rOq1G3,spotify:track:45WX2cfbL8bCIqv3rOq1G3,https://api.spotify.com/v1/tracks/45WX2cfbL8bCIqv3rOq1G3,https://api.spotify.com/v1/audio-analysis/45WX2cfbL8bCIqv3rOq1G3,108853,4,i'll follow the sun ,the beatles
46,0.631,0.424,6,-9.106,1,0.0438,0.796,0.000143,0.118,0.589,126.127,audio_features,6pPOkr2OxhQ6htrzOiDmq9,spotify:track:6pPOkr2OxhQ6htrzOiDmq9,https://api.spotify.com/v1/tracks/6pPOkr2OxhQ6htrzOiDmq9,https://api.spotify.com/v1/audio-analysis/6pPOkr2OxhQ6htrzOiDmq9,158627,5,mr moonlight ,the beatles
47,0.588,0.724,7,-6.63,1,0.0335,0.614,8.92e-05,0.877,0.924,131.36,audio_features,5xf0zdP4KCfshyVn02D3Ea,spotify:track:5xf0zdP4KCfshyVn02D3Ea,https://api.spotify.com/v1/tracks/5xf0zdP4KCfshyVn02D3Ea,https://api.spotify.com/v1/audio-analysis/5xf0zdP4KCfshyVn02D3Ea,158147,4,kansas city / hey,the beatles
48,0.652,0.583,9,-7.811,1,0.038,0.412,0.0,0.119,0.744,138.134,audio_features,1Dg4dFJr3HW7sbA7vPejre,spotify:track:1Dg4dFJr3HW7sbA7vPejre,https://api.spotify.com/v1/tracks/1Dg4dFJr3HW7sbA7vPejre,https://api.spotify.com/v1/audio-analysis/1Dg4dFJr3HW7sbA7vPejre,163600,4,eight days a week ,the beatles
49,0.551,0.533,9,-9.8,1,0.0297,0.323,0.722,0.173,0.85,122.358,audio_features,42qkSeX6HNJYHxlk6cWoFe,spotify:track:42qkSeX6HNJYHxlk6cWoFe,https://api.spotify.com/v1/tracks/42qkSeX6HNJYHxlk6cWoFe,https://api.spotify.com/v1/audio-analysis/42qkSeX6HNJYHxlk6cWoFe,124320,4,words of love ,the beatles
50,0.629,0.545,4,-11.466,1,0.0348,0.473,5.08e-05,0.0854,0.735,162.438,audio_features,2d7GP7Fz1NrfPpo7MzWZgb,spotify:track:2d7GP7Fz1NrfPpo7MzWZgb,https://api.spotify.com/v1/tracks/2d7GP7Fz1NrfPpo7MzWZgb,https://api.spotify.com/v1/audio-analysis/2d7GP7Fz1NrfPpo7MzWZgb,177427,4,honey don't ,the beatles
51,0.74,0.49,2,-9.095,1,0.038,0.488,0.0,0.103,0.678,123.227,audio_features,2CxTkdvhDuQrOxl8xXkdJS,spotify:track:2CxTkdvhDuQrOxl8xXkdJS,https://api.spotify.com/v1/tracks/2CxTkdvhDuQrOxl8xXkdJS,https://api.spotify.com/v1/audio-analysis/2CxTkdvhDuQrOxl8xXkdJS,123800,4,every little thing ,the beatles
52,0.533,0.668,7,-7.237,1,0.033,0.451,0.0,0.149,0.889,95.438,audio_features,3kQDIa85ZK8cKVn72NfBnl,spotify:track:3kQDIa85ZK8cKVn72NfBnl,https://api.spotify.com/v1/tracks/3kQDIa85ZK8cKVn72NfBnl,https://api.spotify.com/v1/audio-analysis/3kQDIa85ZK8cKVn72NfBnl,154467,4,i don't want to spoil the party ,the beatles
